time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
84340,95.0,187.0,0.36,0.51,50.0,0.59,69,89,95,0
84350,95.0,187.0,0.36,0.51,50.0,0.59,72,91,95,0
84360,95.0,187.0,0.36,0.51,50.0,0.59,79,89,101,0
84370,95.0,187.0,0.36,0.51,50.0,0.59,81,90,101,0
84380,95.0,187.0,0.36,0.51,50.0,0.59,80,90,101,0
84390,95.0,187.0,0.36,0.51,50.0,0.59,73,90,101,0
84400,95.0,187.0,0.36,0.51,50.0,0.59,86,88,101,0
84410,95.0,187.0,0.36,0.51,50.0,0.59,75,88,101,0
84420,95.0,187.0,0.36,0.51,50.0,0.59,76,89,82,0
84430,95.0,187.0,0.36,0.51,50.0,0.59,78,89,82,0
84440,95.0,187.0,0.36,0.51,50.0,0.59,77,89,82,0
84450,95.0,187.0,0.36,0.51,50.0,0.59,72,90,82,0
84460,95.0,187.0,0.36,0.51,50.0,0.59,65,85,82,0
84470,95.0,187.0,0.36,0.51,50.0,0.59,51,74,82,0
84480,95.0,187.0,0.36,0.51,50.0,0.59,24,67,101,0
84490,95.0,187.0,0.36,0.51,50.0,0.59,43,68,101,0
84500,95.0,187.0,0.36,0.51,50.0,0.59,34,69,101,0
84510,95.0,187.0,0.36,0.51,50.0,0.59,30,67,101,0
84520,95.0,187.0,0.36,0.51,50.0,0.59,25,66,101,0
84530,95.0,187.0,0.36,0.51,50.0,0.59,23,66,101,0
84540,95.0,187.0,0.36,0.51,50.0,0.59,25,66,98,0
84550,95.0,187.0,0.36,0.51,50.0,0.59,29,66,98,0
84560,95.0,187.0,0.36,0.51,50.0,0.59,31,66,98,0
84570,95.0,187.0,0.36,0.51,50.0,0.59,28,66,98,0
84580,95.0,187.0,0.36,0.51,50.0,0.59,26,67,98,0
84590,102.0,180.0,0.19,0.29,50.0,0.59,26,66,98,0
84600,114.0,188.0,0.25,0.39,50.0,0.49,24,66,94,0
84610,114.0,188.0,0.25,0.39,50.0,0.49,25,66,94,0
84620,114.0,188.0,0.25,0.39,50.0,0.49,25,66,94,0
84630,114.0,188.0,0.25,0.39,50.0,0.49,31,67,94,0
84640,114.0,188.0,0.25,0.39,50.0,0.49,31,67,94,0
84650,114.0,188.0,0.25,0.39,50.0,0.49,30,67,94,0
84660,114.0,188.0,0.25,0.39,50.0,0.49,26,67,100,0
84670,114.0,188.0,0.25,0.39,50.0,0.49,28,67,100,0
84680,114.0,188.0,0.25,0.39,50.0,0.49,31,67,100,0
84710,174.0,1214.0,0.57,0.79,50.0,0.79,29,67,100,0
84720,174.0,1214.0,0.57,0.79,50.0,0.79,36,66,89,0
84730,99.0,110.0,0.74,0.88,50.0,0.79,67,66,89,0
84740,111.0,202.0,0.34,0.55,50.0,0.59,37,67,89,0
84750,111.0,202.0,0.34,0.55,50.0,0.59,38,67,89,0
84760,111.0,202.0,0.34,0.55,50.0,0.59,38,67,89,0
84770,111.0,202.0,0.34,0.55,50.0,0.59,42,67,89,0
84780,111.0,202.0,0.34,0.55,50.0,0.59,36,67,79,0
84790,42.0,65.0,0.02,0.02,50.0,0.2,32,67,79,0
85390,92.0,176.0,0.06,0.08,100.0,0.3,33,68,101,0
85400,102.0,214.0,0.26,0.35,100.0,0.49,30,68,101,0
85410,165.0,945.0,0.24,0.31,100.0,0.49,31,69,101,0
85420,165.0,945.0,0.24,0.31,100.0,0.49,33,69,101,0
85430,165.0,945.0,0.24,0.31,100.0,0.49,28,69,101,0
85440,165.0,945.0,0.24,0.31,100.0,0.49,33,69,85,0
85520,6.0,12.0,0.07,0.08,50.0,0.59,32,71,98,0
85530,6.0,12.0,0.07,0.08,50.0,0.59,35,70,98,0
85540,6.0,12.0,0.07,0.08,50.0,0.59,35,69,98,0
85550,6.0,12.0,0.07,0.08,50.0,0.59,29,68,98,0
85560,101.0,140.0,0.07,0.1,100.0,0.3,44,68,101,0
85570,112.0,202.0,0.27,0.39,50.0,0.3,34,69,101,0
85580,146.0,630.0,0.17,0.22,100.0,0.49,42,69,101,0
85590,107.0,137.0,0.11,0.12,100.0,0.3,33,69,101,0
85600,101.0,161.0,0.13,0.13,100.0,0.3,31,69,101,0
85610,126.0,201.0,0.14,0.15,100.0,0.3,31,68,101,0
85620,99.0,156.0,0.37,0.53,100.0,0.59,33,68,83,0
85630,33.0,79.0,0.03,0.04,50.0,0.39,30,68,83,0
85640,19.0,52.0,0.03,0.04,100.0,0.3,37,68,83,0
85670,111.0,169.0,0.09,0.12,100.0,0.59,25,69,83,0
85680,40.0,60.0,0.03,0.03,50.0,0.59,26,69,82,0
85690,40.0,60.0,0.03,0.03,50.0,0.59,29,69,82,0
85740,113.0,169.0,0.11,0.15,50.0,0.59,23,66,82,0
85750,113.0,169.0,0.11,0.15,50.0,0.59,25,67,82,0
85760,113.0,169.0,0.11,0.15,50.0,0.59,27,68,82,0
85830,13.0,33.0,0.05,0.07,50.0,0.39,23,65,70,0
85840,18.0,33.0,0.05,0.06,50.0,0.59,25,65,70,0
85850,18.0,33.0,0.05,0.06,50.0,0.59,26,65,70,0
85860,18.0,33.0,0.05,0.06,50.0,0.59,36,66,66,0
85870,18.0,33.0,0.05,0.06,50.0,0.59,39,66,66,0
85880,99.0,123.0,0.18,0.18,50.0,0.59,21,65,66,0
85890,99.0,123.0,0.18,0.18,50.0,0.59,18,65,66,0
85900,99.0,123.0,0.18,0.18,50.0,0.59,16,65,66,0
85910,99.0,123.0,0.18,0.18,50.0,0.59,16,65,66,0
85920,99.0,123.0,0.18,0.18,50.0,0.59,14,65,73,0
85930,99.0,123.0,0.18,0.18,50.0,0.59,17,65,73,0
85940,99.0,123.0,0.18,0.18,50.0,0.59,16,65,73,0
85950,99.0,123.0,0.18,0.18,50.0,0.59,17,65,73,0
85960,99.0,123.0,0.18,0.18,50.0,0.59,13,65,73,0
85970,167.0,1301.0,0.51,0.69,50.0,0.59,9,64,73,0
85980,100.0,205.0,0.54,0.73,50.0,0.59,22,65,62,0
85990,100.0,205.0,0.54,0.73,50.0,0.59,30,65,62,0
86000,100.0,205.0,0.54,0.73,50.0,0.59,26,65,62,0
86010,100.0,205.0,0.54,0.73,50.0,0.59,25,65,62,0
86020,100.0,205.0,0.54,0.73,50.0,0.59,24,65,62,0
86030,100.0,205.0,0.54,0.73,50.0,0.59,25,65,62,0
86040,100.0,130.0,0.1,0.13,100.0,0.3,27,65,64,0
86050,94.0,96.0,0.03,0.03,50.0,0.2,28,66,64,0
86110,88.0,103.0,0.03,0.03,100.0,0.3,41,66,71,0
86120,2.0,14.0,0.07,0.07,50.0,0.59,39,67,71,0
86130,2.0,14.0,0.07,0.07,50.0,0.59,29,67,71,0
86140,2.0,14.0,0.07,0.07,50.0,0.59,34,66,71,0
86150,2.0,14.0,0.07,0.07,50.0,0.59,55,67,71,0
86160,2.0,14.0,0.07,0.07,50.0,0.59,40,68,71,0
86170,2.0,14.0,0.07,0.07,50.0,0.59,31,67,71,0
86180,1.0,28.0,0.06,0.07,100.0,0.49,34,66,71,0
86190,1.0,28.0,0.06,0.07,100.0,0.49,46,66,71,0
86200,1.0,28.0,0.06,0.07,100.0,0.49,41,66,71,0
86210,1.0,28.0,0.06,0.07,100.0,0.49,32,66,71,0
86220,1.0,28.0,0.06,0.07,100.0,0.49,22,66,65,0
86230,119.0,211.0,0.14,0.12,100.0,0.3,18,66,65,0
86240,94.0,260.0,8.81,18.2,100.0,0.39,16,66,65,0
86250,94.0,260.0,8.81,18.2,100.0,0.39,14,66,65,0
86260,75.0,107.0,0.11,0.19,100.0,0.3,16,66,65,0
86270,20.0,122.0,0.01,0.0,100.0,0.3,21,67,65,0
86280,87.0,141.0,0.18,0.19,100.0,0.3,20,68,66,0
86290,26.0,107.0,0.04,0.0,100.0,0.3,18,68,66,0
86300,26.0,107.0,0.04,0.0,100.0,0.3,19,68,66,0
86310,26.0,107.0,0.04,0.0,100.0,0.3,18,68,66,0
86320,26.0,107.0,0.04,0.0,100.0,0.3,17,68,66,0
86330,26.0,107.0,0.04,0.0,100.0,0.3,15,68,66,0
86340,84.0,145.0,0.18,0.19,100.0,0.3,16,68,61,0
86350,50.0,102.0,0.54,0.61,100.0,0.39,17,68,61,0
